"","adm0_id","adm0_name","adm1_id","adm1_name","mkt_id","mkt_name","cm_id","cm_name","cur_id","cur_name","pt_id","pt_name","um_id","um_name","mp_month","mp_year","mp_price","mp_commoditysource"
"305805",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",12,2017,2.57,NA
"305806",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",1,2018,2.58,NA
"305807",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",2,2018,2.5733,NA
"305808",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",3,2018,2.585,NA
"305809",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",4,2018,2.535,NA
"305810",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",5,2018,2.492,NA
"305811",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",6,2018,2.465,NA
"305812",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",7,2018,2.48,NA
"305813",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",8,2018,2.4875,NA
"305814",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",9,2018,2.49,NA
"305815",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",10,2018,2.4975,NA
"305816",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",11,2018,2.54,NA
"305817",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",12,2018,2.535,NA
"305818",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",1,2019,2.5067,NA
